Question,Choice1,Choice2,Choice3,Choice4,Answer
 What is the full form of �AI�?,Artificially Intelligent,Artificial Intelligence,Artificially Intelligence,Advanced Intelligence,2
Who is the inventor of Artificial Intelligence?,Geoffrey Hinton,Andrew Ng, John McCarthy, J�rgen Schmidhuber,3
Which of the following is the branch of Artificial Intelligence?,Machine Learning,Cyber forensics,Full-Stack Developer,Network Design,1
What is the goal of Artificial Intelligence?,To solve artificial problems,To extract scientific causes, To explain various sorts of intelligence,To solve real-world problems,3
In how many categories process of Artificial Intelligence is categorized?,categorized into 5 categories,processes are categorized based on the input provided,categorized into 3 categories,process is not categorized,3
Which of the following is a component of Artificial Intelligence?,Learning,Training,Designing,Puzzling,1
Which of the following is not a type of Artificial Intelligence agent?,Learning AI agent,Goal-based AI agent,Simple reflex AI agent,Unity-based AI agent,4
Which of the following is not the commonly used programming language for Artificial Intelligence?,Perl,Java,PROLOG,LISP,1
What is the name of the Artificial Intelligence system developed by Daniel Bobrow?,program known as BACON,system known as STUDENT,program known as SHRDLU,system known as SIMD,2
Which of the following machine requires input from the humans but can interpret the outputs themselves?,Actuators,Sensor,Agents,AI system,4
